time,pressure1,pressure2,pressure3,temparature1,temparature2,flow meter
0.0,0.0,1.0,1.0,0.0,1.0,-1.0
0.051,0.04997916927067833,0.9987502603949663,1.0,0.09983341664682815,1.0,-0.9681690113816209
0.101,0.09983341664682815,0.9950041652780258,1.0,0.19866933079506122,1.0,-0.9363380227632419
0.152,0.14943813247359924,0.9887710779360422,1.0,0.2955202066613396,1.0,-0.9045070341448628
0.202,0.19866933079506122,0.9800665778412416,1.0,0.3894183423086505,1.0,-0.8726760455264837
0.253,0.24740395925452294,0.9689124217106447,1.0,0.479425538604203,1.0,-0.8408450569081046
0.303,0.29552020666133955,0.955336489125606,1.0,0.5646424733950354,1.0,-0.8090140682897256
0.354,0.34289780745545134,0.9393727128473789,1.0,0.644217687237691,1.0,-0.7771830796713466
0.405,0.38941834230865047,0.9210609940028851,1.0,0.7173560908995227,1.0,-0.7453520910529674
0.456,0.4349655341112302,0.900447102352677,1.0,0.7833269096274833,1.0,-0.7135211024345884
0.507,0.47942553860420295,0.8775825618903728,1.0,0.8414709848078964,1.0,-0.6816901138162094
0.558,0.5226872289306591,0.8525245220595058,1.0,0.8912073600614353,1.0,-0.6498591251978303
0.608,0.5646424733950354,0.8253356149096783,1.0,0.9320390859672263,1.0,-0.6180281365794512
0.659,0.6051864057360395,0.7960837985490559,1.0,0.963558185417193,1.0,-0.5861971479610721
0.709,0.6442176872376911,0.7648421872844884,1.0,0.9854497299884603,1.0,-0.554366159342693
0.76,0.6816387600233342,0.7316888688738208,1.0,0.9974949866040544,1.0,-0.5225351707243139
0.811,0.7173560908995229,0.6967067093471653,1.0,0.9995736030415051,1.0,-0.4907041821059348
0.862,0.7512804051402928,0.659983145884982,1.0,0.9916648104524686,1.0,-0.45887319348755573
0.912,0.7833269096274835,0.6216099682706643,1.0,0.973847630878195,1.0,-0.42704220486917666
0.963,0.813415504789374,0.5816830894638833,1.0,0.9463000876874142,1.0,-0.39521121625079747
1.014,0.8414709848078966,0.5403023058681395,1.0,0.9092974268256815,1.0,-0.3633802276324185
1.064,0.8674232255940171,0.49757104789172674,1.0,0.8632093666488735,1.0,-0.33154923901403943
1.115,0.8912073600614355,0.4535961214255771,1.0,0.8084964038195899,1.0,-0.29971825039566025
1.166,0.9127639402605212,0.40848744088415695,1.0,0.7457052121767197,1.0,-0.26788726177728117
1.217,0.9320390859672265,0.36235775447667323,1.0,0.6754631805511503,1.0,-0.2360562731589021
1.268,0.9489846193555863,0.31532236239526823,1.0,0.5984721441039558,1.0,-0.20422528454052302
1.318,0.9635581854171931,0.26749882862458696,1.0,0.5155013718214634,1.0,-0.17239429592214395
1.369,0.9757233578266592,0.21900668709304105,1.0,0.42737988023382895,1.0,-0.14056330730376476
1.42,0.9854497299884603,0.16996714290024037,1.0,0.33498815015590383,1.0,-0.10873231868538569
1.47,0.9927129910375886,0.12050276936736595,1.0,0.23924932921398112,1.0,-0.07690133006700661
1.521,0.9974949866040544,0.07073720166770224,1.0,0.1411200080598659,1.0,-0.04507034144862754
1.572,0.999783764189357,0.02079482780309176,1.0,0.04158066243328916,1.0,-0.013239352830248463
1.623,0.9995736030415051,-0.02919952230128948,1.0,-0.05837414342758142,1.0,0.01859163578813061
1.673,0.9968650284539188,-0.07912088880673475,1.0,-0.15774569414324996,1.0,0.0504226244065098
1.724,0.9916648104524685,-0.12884449429552552,1.0,-0.25554110202683294,1.0,0.08225361302488876
1.775,0.9839859468739367,-0.17824605564949297,1.0,-0.3507832276896215,1.0,0.11408460164326795
1.825,0.9738476308781949,-0.22720209469308797,1.0,-0.44252044329485407,1.0,0.14591559026164713
1.876,0.9612752029752997,-0.2755902468245138,1.0,-0.5298361409084948,1.0,0.1777465788800261
1.927,0.9463000876874141,-0.3232895668635044,1.0,-0.6118578909427207,1.0,0.20957756749840528
1.978,0.9289597150038689,-0.37018083135128793,1.0,-0.6877661591839753,1.0,0.24140855611678425
2.028,0.9092974268256814,-0.4161468365471432,1.0,-0.7568024953079294,1.0,0.2732395447351632
2.079,0.8873623686333751,-0.46107269137671353,1.0,-0.8182771110644114,1.0,0.3050705333535422
2.13,0.8632093666488735,-0.5048461045998579,1.0,-0.8715757724135886,1.0,0.33690152197192114
2.181,0.8368987907984975,-0.5473576654802714,1.0,-0.9161659367494552,1.0,0.3687325105903001
2.232,0.8084964038195901,-0.5885011172553458,1.0,-0.9516020738895161,1.0,0.40056349920867906
2.283,0.7780731968879212,-0.6281736227227391,1.0,-0.977530117665097,1.0,0.432394487827058
2.334,0.7457052121767203,-0.666276021279824,1.0,-0.9936910036334644,1.0,0.464225476445437
2.385,0.7114733527908447,-0.7027130767735537,1.0,-0.9999232575641008,1.0,0.49605646506381595
2.436,0.6754631805511513,-0.7373937155412451,1.0,-0.9961646088358408,1.0,0.5278874536821949
2.487,0.6377647021345043,-0.7702312540473069,1.0,-0.9824526126243328,1.0,0.5597184423005739
2.538,0.5984721441039572,-0.8011436155469331,1.0,-0.958924274663139,1.0,0.5915494309189528
2.588,0.5576837173914178,-0.8300535352352216,1.0,-0.9258146823277331,1.0,0.6233804195373318
2.639,0.5155013718214653,-0.8568887533689465,1.0,-0.8834546557201545,1.0,0.6552114081557108
2.69,0.4720305412898838,-0.8815821958782852,1.0,-0.8322674422239027,1.0,0.6870423967740897
2.741,0.4273798802338314,-0.9040721420170604,1.0,-0.7727644875559894,1.0,0.7188733853924687
2.792,0.38166099205233334,-0.9243023786324629,1.0,-0.7055403255703945,1.0,0.7507043740108477
2.843,0.33498815015590677,-0.9422223406686575,1.0,-0.6312666378723244,1.0,0.7825353626292266
